year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Richard Barthelmess,The Noose,False
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Richard Barthelmess,The Patent Leather Kid,False
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Emil Jannings,The Last Command,True
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Emil Jannings,The Way of All Flesh,True
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Louise Dresser,A Ship Comes In,False
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,7th Heaven,True
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,Street Angel,True
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,Sunrise,True
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Gloria Swanson,Sadie Thompson,False
1927,1928,1,ART DIRECTION,ART DIRECTION,Rochus Gliese,Sunrise,False
1927,1928,1,ART DIRECTION,ART DIRECTION,William Cameron Menzies,The Dove,True
1927,1928,1,ART DIRECTION,ART DIRECTION,William Cameron Menzies,Tempest,True
1927,1928,1,ART DIRECTION,ART DIRECTION,Harry Oliver,7th Heaven,False
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,The Devil Dancer,False
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,The Magic Flame,False
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,Sadie Thompson,False
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,Charles Rosher/Karl Struss,Sunrise,True
1927,1928,1,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,True
1927,1928,1,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Ted Wilde,Speedy,False
1927,1928,1,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,True
1927,1928,1,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,False
1927,1928,1,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),King Vidor,The Crowd,False
1927,1928,1,ENGINEERING EFFECTS,VISUAL EFFECTS,Ralph Hammeras,,False
1927,1928,1,ENGINEERING EFFECTS,VISUAL EFFECTS,Roy Pomeroy,Wings,True
1927,1928,1,ENGINEERING EFFECTS,VISUAL EFFECTS,Nugent Slaughter,,False
1927,1928,1,OUTSTANDING PICTURE,BEST PICTURE,The Caddo Company,The Racket,False
1927,1928,1,OUTSTANDING PICTURE,BEST PICTURE,Fox,7th Heaven,False
1927,1928,1,OUTSTANDING PICTURE,BEST PICTURE,Paramount Famous Lasky,Wings,True
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,True
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,False
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,False
1927,1928,1,WRITING (Adaptation),WRITING (Adapted Screenplay),Alfred Cohn,The Jazz Singer,False
1927,1928,1,WRITING (Adaptation),WRITING (Adapted Screenplay),Anthony Coldeway,Glorious Betsy,False
1927,1928,1,WRITING (Adaptation),WRITING (Adapted Screenplay),Benjamin Glazer,7th Heaven,True
1927,1928,1,WRITING (Original Story),WRITING (Original Story),Lajos Biro,The Last Command,False
1927,1928,1,WRITING (Original Story),WRITING (Original Story),Ben Hecht,Underworld,True
1927,1928,1,WRITING (Title Writing),WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,False
